name,latent_path,original_bytes,zstd_bytes,zstd_then_openzl_bytes,delta_vs_zstd_bytes,saved_vs_original_bytes,original_mb,zstd_mb,zstd_then_openzl_mb,delta_vs_zstd_mb,saved_vs_original_mb,original_mib,zstd_mib,zstd_then_openzl_mib,ratio_original_to_zstd,ratio_original_to_final,delta_vs_zstd_percent,saved_vs_original_percent,original_sha256,restored_sha256,verified_lossless
020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing.pt,20954177,18999492,18999966,474,1954211,20.954177,18.999492,18.999966,0.000474,1.954211,19.98346,18.119328,18.11978,1.102881,1.102853,0.002495,9.326117,8f644a29a03babed454f2b649498c2adf380b50fdfe781a9150d0c0ee30e5414,8f644a29a03babed454f2b649498c2adf380b50fdfe781a9150d0c0ee30e5414,True
021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles.pt,20954029,18645538,18646006,468,2308023,20.954029,18.645538,18.646006,0.000468,2.308023,19.983319,17.781771,17.782217,1.123809,1.123781,0.00251,11.014698,7f59cc1eb958885326ad47a0eeacd1dc0e0e09300ea4da976a6bb8f5aefedafe,7f59cc1eb958885326ad47a0eeacd1dc0e0e09300ea4da976a6bb8f5aefedafe,True
022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside.pt,20953627,19221951,19222431,480,1731196,20.953627,19.221951,19.222431,0.00048,1.731196,19.982936,18.331481,18.331939,1.090088,1.090061,0.002497,8.262035,83db666e853e1492c30b4f85ce52ecd54a4d513ad2fe44f4615e4442910f3bde,83db666e853e1492c30b4f85ce52ecd54a4d513ad2fe44f4615e4442910f3bde,True
023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr.pt,20954113,19269715,19270198,483,1683915,20.954113,19.269715,19.270198,0.000483,1.683915,19.983399,18.377032,18.377493,1.087412,1.087384,0.002507,8.036203,489ff6b8230cb3b64b3d968040a94342d74e9d13c5c63d5944258bd98de5bef9,489ff6b8230cb3b64b3d968040a94342d74e9d13c5c63d5944258bd98de5bef9,True
024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table.pt,20953613,19270844,19271327,483,1682286,20.953613,19.270844,19.271327,0.000483,1.682286,19.982923,18.378109,18.37857,1.087322,1.087295,0.002506,8.02862,3314cb981d58bca2a46f687aaa4a127624be2acaf29b700de018aa9044f8c5aa,3314cb981d58bca2a46f687aaa4a127624be2acaf29b700de018aa9044f8c5aa,True
025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean.pt,20953443,18610220,18610685,465,2342758,20.953443,18.61022,18.610685,0.000465,2.342758,19.98276,17.748089,17.748532,1.125911,1.125882,0.002499,11.180778,985a3f25596dc71cfdbd0989714ba4b68e4b0edd6006e64a7dbc04b448d4099c,985a3f25596dc71cfdbd0989714ba4b68e4b0edd6006e64a7dbc04b448d4099c,True
026_imaging_quality_r02_p035_busy_freeway_at_night,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/026_imaging_quality_r02_p035_busy_freeway_at_night.pt,20953174,18932082,18932556,474,2020618,20.953174,18.932082,18.932556,0.000474,2.020618,19.982504,18.05504,18.055492,1.106755,1.106727,0.002504,9.643494,6747cc53cec3da0888c9b5158d7417147e2ed8b2481c624a0ee6d832df523bef,6747cc53cec3da0888c9b5158d7417147e2ed8b2481c624a0ee6d832df523bef,True
027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars.pt,20953634,19149325,19149805,480,1803829,20.953634,19.149325,19.149805,0.00048,1.803829,19.982943,18.262219,18.262677,1.094223,1.094196,0.002507,8.608669,bb1d91c533aa9d27ed3b9e2926dfc75426d5fd9625ff1c818fc85badf452db18,bb1d91c533aa9d27ed3b9e2926dfc75426d5fd9625ff1c818fc85badf452db18,True
028_object_class_r00_p019_a_cow,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/028_object_class_r00_p019_a_cow.pt,20953041,19165474,19165954,480,1787087,20.953041,19.165474,19.165954,0.00048,1.787087,19.982377,18.27762,18.278078,1.09327,1.093243,0.002505,8.52901,d9a3900cacd70a16f5a15de7ec53bd324fb18ed6c19d6a20956702b20df57d51,d9a3900cacd70a16f5a15de7ec53bd324fb18ed6c19d6a20956702b20df57d51,True
029_object_class_r01_p035_a_baseball_glove,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/029_object_class_r01_p035_a_baseball_glove.pt,20953118,19239241,19239721,480,1713397,20.953118,19.239241,19.239721,0.00048,1.713397,19.98245,18.34797,18.348428,1.089082,1.089055,0.002495,8.177289,6348a0f5f80201ce80228f25a0e54f1fdeb8a092cdbb06a268fd3b46460c483f,6348a0f5f80201ce80228f25a0e54f1fdeb8a092cdbb06a268fd3b46460c483f,True
